date,name,cum_return
2021-08-24,PORTFOLIO,52.052024548
2021-08-25,PORTFOLIO,51.711303133
2021-08-26,PORTFOLIO,51.146473531
2021-08-27,PORTFOLIO,47.913624732
2021-08-30,PORTFOLIO,48.040530223
2021-08-31,PORTFOLIO,50.362603156
2021-09-01,PORTFOLIO,49.269670836
2021-09-02,PORTFOLIO,52.664859974
2021-09-03,PORTFOLIO,48.119725516
2021-09-06,PORTFOLIO,49.219803098
2021-09-07,PORTFOLIO,52.713227985
2021-09-08,PORTFOLIO,52.059649507
2021-09-09,PORTFOLIO,48.697157921
2021-09-10,PORTFOLIO,51.116875275
2021-09-13,PORTFOLIO,48.773914826
2021-09-14,PORTFOLIO,53.073011023
2021-09-15,PORTFOLIO,52.740526122
2021-09-16,PORTFOLIO,47.581767156
2021-09-17,PORTFOLIO,49.729433089
2021-09-20,PORTFOLIO,46.652384467
2021-09-21,PORTFOLIO,48.267004171
2021-09-22,PORTFOLIO,54.433194266
2021-09-23,PORTFOLIO,52.450162154
2021-09-24,PORTFOLIO,52.581715355
